t,time,c:c,dayCosFactor:c,daySinFactor:c,temperature:c,weekCosFactorT:c,weekSinFactorT:c
1577027700000,2019-12-22T16:15+01:00[Europe/Vienna],157715,-0.659345815097466,-0.75183980748126,9.11,-0.992621923859521,-0.121250634115552
1577028600000,2019-12-22T16:30+01:00[Europe/Vienna],161172.5,-0.608761429015679,-0.793353340285895,9.04,-0.99144486137394,-0.130526192219067
1577029500000,2019-12-22T16:45+01:00[Europe/Vienna],163275,-0.555570233024968,-0.83146961229896,8.97,-0.990181125336538,-0.139790339534844
1577030400000,2019-12-22T17:00+01:00[Europe/Vienna],164785,-0.500000000016183,-0.866025403775095,8.9,-0.988830826225449,-0.149042266174049
1577031300000,2019-12-22T17:15+01:00[Europe/Vienna],166560,-0.44228869022063,-0.896872741531885,8.815,-0.987394082084971,-0.158281163325195
1577032200000,2019-12-22T17:30+01:00[Europe/Vienna],167595,-0.382683432364625,-0.923879532511479,8.73,-0.98587101851818,-0.167506223305063
1577033100000,2019-12-22T17:45+01:00[Europe/Vienna],167217.5,-0.32143946531427,-0.946930129491335,8.645,-0.984261768673559,-0.176716639645502
1577034000000,2019-12-22T18:00+01:00[Europe/Vienna],167127.5,-0.258819045097556,-0.965925826290399,8.56,-0.982566473233103,-0.185911607163891
1577034900000,2019-12-22T18:15+01:00[Europe/Vienna],164912.5,-0.195090322023086,-0.980785280401846,8.465,-0.980785280403327,-0.195090322015644
1577035800000,2019-12-22T18:30+01:00[Europe/Vienna],163947.5,-0.130526192224786,-0.991444861373187,8.37,-0.978918345897682,-0.204251981789521
1577036700000,2019-12-22T18:45+01:00[Europe/Vienna],163295,-0.065403129247115,-0.997858923237491,8.275,-0.976965832927024,-0.213395785556338
1577037600000,2019-12-22T19:00+01:00[Europe/Vienna],162670,-1.38100041330159E-13,-1,8.18,-0.974927912181712,-0.222520933956802
1577038500000,2019-12-22T19:15+01:00[Europe/Vienna],159532.5,0.065403129217798,-0.997858923239413,8.0975,-0.972804761821328,-0.231626629250069
1577039400000,2019-12-22T19:30+01:00[Europe/Vienna],158912.5,0.130526192224512,-0.991444861373223,8.015,-0.970596567453549,-0.240712075408336
1577040300000,2019-12-22T19:45+01:00[Europe/Vienna],156055,0.195090322008542,-0.980785280404739,7.9325,-0.968303522122797,-0.24977647816515
1577041200000,2019-12-22T20:00+01:00[Europe/Vienna],154030,0.258819045097289,-0.96592582629047,7.85,-0.965925826289067,-0.258819045102526
1577042100000,2019-12-22T20:15+01:00[Europe/Vienna],152935,0.321439465314008,-0.946930129491424,7.8025,-0.963463687815349,-0.267838985700828
1577043000000,2019-12-22T20:30+01:00[Europe/Vienna],151105,0.38268343236437,-0.923879532511585,7.755,-0.960917321945418,-0.276835511423744
1577043900000,2019-12-22T20:45+01:00[Europe/Vienna],154177.5,0.442288690220382,-0.896872741532007,7.7075,-0.958286951284772,-0.285807835787155
1577044800000,2019-12-22T21:00+01:00[Europe/Vienna],150565,0.499999999990739,-0.866025403789785,7.66,-0.955572805786285,-0.294755174410438
1577045700000,2019-12-22T21:15+01:00[Europe/Vienna],149087.5,0.555570233024738,-0.831469612299114,7.6675,-0.952775122722944,-0.303676745109465
1577046600000,2019-12-22T21:30+01:00[Europe/Vienna],144910,0.608761429003916,-0.793353340294922,7.675,-0.94989414667336,-0.312571767944082
1577047500000,2019-12-22T21:45+01:00[Europe/Vienna],140770,0.659345815097258,-0.751839807481442,7.6825,-0.946930129494943,-0.32143946530364
1577048400000,2019-12-22T22:00+01:00[Europe/Vienna],138347.5,0.707106781175254,-0.707106781197841,7.69,-0.943883330309293,-0.330279061952523
1577049300000,2019-12-22T22:15+01:00[Europe/Vienna],147542.5,0.75183980747957,-0.659345815099393,7.7275,-0.940754015468468,-0.339089785130654
1577050200000,2019-12-22T22:30+01:00[Europe/Vienna],147630,0.793353340284335,-0.608761429017713,7.765,-0.937542458544743,-0.347870864583222
1577051100000,2019-12-22T22:45+01:00[Europe/Vienna],143460,0.831469612297536,-0.555570233027099,7.8025,-0.934248940294596,-0.356621532662324
1577052000000,2019-12-22T23:00+01:00[Europe/Vienna],139265,0.866025403788366,-0.499999999993198,7.84,-0.930873748644079,-0.365341024366714
1577052900000,2019-12-22T23:15+01:00[Europe/Vienna],142652.5,0.896872741530751,-0.442288690222929,7.87,-0.927417178657403,-0.374028577425766
1577053800000,2019-12-22T23:30+01:00[Europe/Vienna],136422.5,0.923879532510498,-0.382683432366994,7.9,-0.923879532510902,-0.382683432366018
1577054700000,2019-12-22T23:45+01:00[Europe/Vienna],132792.5,0.946930129490511,-0.321439465316697,7.93,-0.9202611194735,-0.391304832560731
1577055600000,2019-12-23T00:00+01:00[Europe/Vienna],128520,0.965925826289735,-0.258819045100032,7.96,-0.916562255870037,-0.399892024319602
1577056500000,2019-12-23T00:15+01:00[Europe/Vienna],139080,0.980785280401346,-0.1950903220256,7.96,-0.912783265061988,-0.4084442569345
1577057400000,2019-12-23T00:30+01:00[Europe/Vienna],134905,0.991444861372853,-0.130526192227327,7.96,-0.908924477411998,-0.416960782761792
1577058300000,2019-12-23T00:45+01:00[Europe/Vienna],133420,0.997858923237323,-0.065403129249673,7.96,-0.904986230264669,-0.425440857266134
